Entity,Code,Year,Consumption Rate
Australia,AUS,2010,80.4
Australia,AUS,2011,88.9
Australia,AUS,2012,91.7
Australia,AUS,2013,96.2
Australia,AUS,2014,100.7
Australia,AUS,2015,104.1
Australia,AUS,2016,106.5
Australia,AUS,2017,109.3
Australia,AUS,2018,112.2
Australia,AUS,2019,115.6
Australia,AUS,2020,122.2
Austria,AUT,2010,54.2
Austria,AUT,2011,57
Austria,AUT,2012,58
Austria,AUT,2013,59.3
Austria,AUT,2014,60.3
Austria,AUT,2015,60.3
Austria,AUT,2016,60.5
Austria,AUT,2017,61
Austria,AUT,2018,61.3
Austria,AUT,2019,62
Austria,AUT,2020,63.2
Belgium,BEL,2010,68.7
Belgium,BEL,2011,70
Belgium,BEL,2012,70.4
Belgium,BEL,2013,72.1
Belgium,BEL,2014,74.9
Belgium,BEL,2015,77.5
Belgium,BEL,2016,79
Belgium,BEL,2017,78.8
Belgium,BEL,2018,79.7
Belgium,BEL,2019,81.9
Belgium,BEL,2020,83.8
Canada,CAN,2010,78.8
Canada,CAN,2011,82.7
Canada,CAN,2012,83.7
Canada,CAN,2013,85
Canada,CAN,2014,87.4
Canada,CAN,2015,90.1
Canada,CAN,2016,100.1
Canada,CAN,2017,104.4
Canada,CAN,2018,108.4
Canada,CAN,2019,114.1
Canada,CAN,2020,122
Canada,CAN,2021,130.4
Chile,CHL,2011,25.2
Chile,CHL,2012,42.7
Chile,CHL,2013,41.8
Chile,CHL,2014,43.4
Chile,CHL,2015,46.5
Chile,CHL,2016,36.9
Chile,CHL,2017,42
Chile,CHL,2018,40.1
Chile,CHL,2019,52
Chile,CHL,2020,67
Chile,CHL,2021,90.7
Costa Rica,CRI,2010,21.9
Costa Rica,CRI,2011,24.4
Costa Rica,CRI,2012,26.1
Costa Rica,CRI,2013,29.7
Costa Rica,CRI,2014,29.9
Costa Rica,CRI,2015,28.4
Costa Rica,CRI,2016,29.3
Costa Rica,CRI,2017,30.9
Costa Rica,CRI,2018,33.4
Costa Rica,CRI,2019,35.9
Costa Rica,CRI,2020,39
Czechia,CZE,2010,41.6
Czechia,CZE,2011,44.1
Czechia,CZE,2012,46.2
Czechia,CZE,2013,49
Czechia,CZE,2014,52.7
Czechia,CZE,2015,55
Czechia,CZE,2016,57.1
Czechia,CZE,2017,59.9
Czechia,CZE,2018,61.4
Czechia,CZE,2019,64.4
Czechia,CZE,2020,65.7
Denmark,DNK,2010,84
Denmark,DNK,2011,85.2
Denmark,DNK,2012,83.2
Denmark,DNK,2013,80
Denmark,DNK,2014,76.6
Denmark,DNK,2015,77
Denmark,DNK,2016,76.4
Denmark,DNK,2017,75.7
Denmark,DNK,2018,76.6
Denmark,DNK,2019,78.3
Denmark,DNK,2020,80.7
Denmark,DNK,2021,84.6
Estonia,EST,2010,15.9
Estonia,EST,2011,17.9
Estonia,EST,2012,20.1
Estonia,EST,2013,21.4
Estonia,EST,2014,23.3
Estonia,EST,2015,24.8
Estonia,EST,2016,27.2
Estonia,EST,2017,28.8
Estonia,EST,2018,31.9
Estonia,EST,2019,34.8
Estonia,EST,2020,37
Estonia,EST,2021,40.7
Finland,FIN,2010,69.2
Finland,FIN,2011,70.2
Finland,FIN,2012,69.8
Finland,FIN,2013,69.4
Finland,FIN,2014,68.9
Finland,FIN,2015,68.3
Finland,FIN,2016,67.7
Finland,FIN,2017,70.5
Finland,FIN,2018,74.9
Finland,FIN,2019,78.3
Finland,FIN,2020,81.5
France,FRA,2010,53.4
France,FRA,2011,51.7
France,FRA,2012,52
France,FRA,2013,51.8
France,FRA,2014,51.8
France,FRA,2015,51.6
France,FRA,2016,51.7
France,FRA,2017,51.3
France,FRA,2018,51.5
France,FRA,2019,54.4
France,FRA,2020,54.5
Germany,DEU,2010,46.7
Germany,DEU,2011,50
Germany,DEU,2012,51.9
Germany,DEU,2013,53.1
Germany,DEU,2014,55.1
Germany,DEU,2015,56.4
Germany,DEU,2016,56.5
Germany,DEU,2017,56.9
Germany,DEU,2018,58.5
Germany,DEU,2019,60.3
Germany,DEU,2020,62.2
Greece,GRC,2013,44.7
Greece,GRC,2014,44.6
Greece,GRC,2015,48.1
Greece,GRC,2017,55.1
Greece,GRC,2018,58
Greece,GRC,2019,61
Greece,GRC,2020,65.8
Greece,GRC,2021,70.6
Hungary,HUN,2010,26.4
Hungary,HUN,2011,27.3
Hungary,HUN,2012,26.8
Hungary,HUN,2013,27.5
Hungary,HUN,2014,27.7
Hungary,HUN,2015,28.3
Hungary,HUN,2016,28.4
Hungary,HUN,2017,28.8
Hungary,HUN,2018,29.3
Hungary,HUN,2019,29.5
Hungary,HUN,2020,30.4
Hungary,HUN,2021,29.8
Iceland,ISL,2010,101.3
Iceland,ISL,2011,103.8
Iceland,ISL,2012,106.3
Iceland,ISL,2013,113.7
Iceland,ISL,2014,115.7
Iceland,ISL,2015,125.8
Iceland,ISL,2016,133
Iceland,ISL,2017,138.6
Iceland,ISL,2018,142
Iceland,ISL,2019,146
Iceland,ISL,2020,153.4
Iceland,ISL,2021,161.1
Israel,ISR,2012,34.3
Israel,ISR,2014,42.1
Israel,ISR,2015,44.4
Israel,ISR,2016,46.7
Israel,ISR,2017,49.2
Israel,ISR,2018,51.1
Israel,ISR,2019,53.8
Israel,ISR,2020,55.4
Israel,ISR,2021,57.7
Italy,ITA,2011,38.4
Italy,ITA,2012,38.6
Italy,ITA,2013,39.1
Italy,ITA,2014,39.3
Italy,ITA,2015,39.6
Italy,ITA,2016,39.9
Italy,ITA,2017,40.4
Italy,ITA,2018,41.6
Italy,ITA,2019,42.4
Italy,ITA,2020,43.7
Italy,ITA,2021,44.4
Latvia,LVA,2012,9.5
Latvia,LVA,2013,10.2
Latvia,LVA,2014,11.1
Latvia,LVA,2015,12.3
Latvia,LVA,2016,13.3
Latvia,LVA,2017,15
Latvia,LVA,2018,16.1
Latvia,LVA,2019,17.6
Latvia,LVA,2020,19.8
Latvia,LVA,2021,21.5
Lithuania,LTU,2010,19.2
Lithuania,LTU,2011,20.8
Lithuania,LTU,2012,23.4
Lithuania,LTU,2013,24.7
Lithuania,LTU,2014,25.7
Lithuania,LTU,2015,27.9
Lithuania,LTU,2016,29.3
Lithuania,LTU,2017,32.1
