population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Chile,Both,All ages,Depressive disorders,Percent,2010,0.038581682,0.051360084,0.028494219
All Population,Prevalence,Chile,Both,10-19 years,Depressive disorders,Percent,2010,0.040598583,0.05320765,0.026250393
All Population,Prevalence,Chile,Both,55+ years,Depressive disorders,Percent,2010,0.038775028,0.052086788,0.028715977
All Population,Prevalence,Chile,Both,20-54 years,Depressive disorders,Percent,2010,0.045832821,0.061895616,0.033441578
All Population,Prevalence,Canada,Both,All ages,Depressive disorders,Percent,2010,0.036026279,0.040045515,0.032200766
All Population,Prevalence,Luxembourg,Both,All ages,Depressive disorders,Percent,2010,0.041110119,0.046004732,0.036842579
All Population,Prevalence,Luxembourg,Both,10-19 years,Depressive disorders,Percent,2010,0.041899711,0.048906562,0.033490983
All Population,Prevalence,Luxembourg,Both,55+ years,Depressive disorders,Percent,2010,0.042403823,0.04961486,0.036493689
All Population,Prevalence,Luxembourg,Both,20-54 years,Depressive disorders,Percent,2010,0.046191801,0.052402876,0.040607989
All Population,Prevalence,Belgium,Both,All ages,Depressive disorders,Percent,2010,0.035547995,0.040936006,0.030657256
All Population,Prevalence,Belgium,Both,10-19 years,Depressive disorders,Percent,2010,0.035386096,0.042547194,0.027879501
All Population,Prevalence,Belgium,Both,55+ years,Depressive disorders,Percent,2010,0.0366954,0.043534329,0.030457662
All Population,Prevalence,Belgium,Both,20-54 years,Depressive disorders,Percent,2010,0.039992662,0.046604849,0.033794744
All Population,Prevalence,Canada,Both,10-19 years,Depressive disorders,Percent,2010,0.036210442,0.041485397,0.030007288
All Population,Prevalence,Canada,Both,55+ years,Depressive disorders,Percent,2010,0.032668195,0.038139196,0.028147369
All Population,Prevalence,Canada,Both,20-54 years,Depressive disorders,Percent,2010,0.04340158,0.049427246,0.0376834
All Population,Prevalence,Sweden,Both,All ages,Depressive disorders,Percent,2010,0.042051743,0.04616719,0.038256449
All Population,Prevalence,Sweden,Both,10-19 years,Depressive disorders,Percent,2010,0.046718631,0.052843942,0.039055333
All Population,Prevalence,Sweden,Both,55+ years,Depressive disorders,Percent,2010,0.042159395,0.048339755,0.037300019
All Population,Prevalence,Sweden,Both,20-54 years,Depressive disorders,Percent,2010,0.047558424,0.053318933,0.042334498
All Population,Prevalence,Norway,Both,All ages,Depressive disorders,Percent,2010,0.031355154,0.034878601,0.028032359
All Population,Prevalence,Norway,Both,10-19 years,Depressive disorders,Percent,2010,0.02975621,0.03442844,0.024025572
All Population,Prevalence,Norway,Both,55+ years,Depressive disorders,Percent,2010,0.032303729,0.037015264,0.028020048
All Population,Prevalence,Norway,Both,20-54 years,Depressive disorders,Percent,2010,0.036527741,0.041727265,0.032199547
All Population,Prevalence,Greece,Both,All ages,Depressive disorders,Percent,2010,0.046065084,0.051526539,0.040515861
All Population,Prevalence,Greece,Both,10-19 years,Depressive disorders,Percent,2010,0.046086947,0.054255308,0.036307293
All Population,Prevalence,Greece,Both,55+ years,Depressive disorders,Percent,2010,0.047899988,0.056240409,0.04030547
All Population,Prevalence,Greece,Both,20-54 years,Depressive disorders,Percent,2010,0.050999626,0.058174883,0.044209153
All Population,Prevalence,Netherlands,Both,All ages,Depressive disorders,Percent,2010,0.054654553,0.059994605,0.049990784
All Population,Prevalence,Netherlands,Both,10-19 years,Depressive disorders,Percent,2010,0.05528108,0.06428386,0.045251328
All Population,Prevalence,Netherlands,Both,55+ years,Depressive disorders,Percent,2010,0.059051109,0.066205925,0.05292614
All Population,Prevalence,Netherlands,Both,20-54 years,Depressive disorders,Percent,2010,0.061475256,0.069502871,0.055044695
All Population,Prevalence,Slovenia,Both,All ages,Depressive disorders,Percent,2010,0.028619491,0.032892032,0.024504743
All Population,Prevalence,Slovenia,Both,10-19 years,Depressive disorders,Percent,2010,0.01732452,0.021110494,0.013468631
All Population,Prevalence,Slovenia,Both,55+ years,Depressive disorders,Percent,2010,0.036238049,0.043079928,0.030627576
